2026-08-14 07:42:36,628 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 07:42:36,629 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[100-422-above maximum]
2026-08-14 07:42:36,667 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:42:36,667 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 07:42:36,675 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,676 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (7 ms)
2026-08-14 07:42:36,681 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:42:36,682 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:42:36,684 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 07:42:36,684 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (2 ms)
2026-08-14 07:42:36,690 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,690 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:42:36,692 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[100-422-above maximum] (0.06s)
