2026-08-14 07:39:18,555 | INFO    | test | START tests/services/test_cart_flow.py::test_checkout_creates_order_and_empties_cart
2026-08-14 07:39:18,577 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,577 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 07:39:18,579 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,579 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:39:18,581 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:39:18,581 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:39:18,584 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:39:18,584 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (2 ms)
2026-08-14 07:39:18,587 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,588 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:39:18,591 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 201 Created"
2026-08-14 07:39:18,591 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 201 (3 ms)
2026-08-14 07:39:18,593 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,594 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:39:18,600 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,600 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (5 ms)
2026-08-14 07:39:18,601 | INFO    | test | END   tests/services/test_cart_flow.py::test_checkout_creates_order_and_empties_cart (0.05s)
