2026-08-14 07:39:18,552 | INFO    | test | START tests/services/test_cart_flow.py::test_quantity_boundaries[99-201-maximum valid]
2026-08-14 07:39:18,572 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,573 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (1 ms)
2026-08-14 07:39:18,574 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,574 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 07:39:18,577 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:39:18,577 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 07:39:18,581 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:39:18,581 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (3 ms)
2026-08-14 07:39:18,584 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,585 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:39:18,586 | INFO    | httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/cart/items/1 "HTTP/1.1 200 OK"
2026-08-14 07:39:18,586 | INFO    | framework.http | DELETE http://127.0.0.1:8000/api/cart/items/1 -> 200 (1 ms)
2026-08-14 07:39:18,588 | INFO    | test | END   tests/services/test_cart_flow.py::test_quantity_boundaries[99-201-maximum valid] (0.04s)
