"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Network shaping via CDP. Emulating a slow link surfaces missing loading
    states and races that a gigabit office connection hides completely.

    CDP is a Chromium protocol, so this test cannot run on Firefox or WebKit —
    the first cross-browser CI run failed here with ""CDP session is only
    available in Chromium"". Skipping with an explicit reason is the honest fix:
    the capability genuinely does not exist elsewhere, and a silent pass would
    misrepresent the coverage. For latency on other engines, fall back to
    `page.route` with a delay in the handler, which works everywhere.
    ","0","test_page_works_on_a_slow_3g_connection[webkit]","tests.web","2026-08-13","skipped","2026-08-13","","test_mobile_web","",""
"Font size below 12px on a phone is a real usability defect and a common
    consequence of reusing desktop CSS.","248","test_content_is_readable_without_zooming[Pixel 7-webkit]","tests.web","2026-08-13","passed","2026-08-13","","test_mobile_web","",""
"","394","test_mobile_nav_opens_and_is_announced[Galaxy S9+-firefox]","tests.web","2026-08-13","passed","2026-08-13","","test_mobile_web","",""
"","703","test_page_has_exactly_one_h1_and_a_language[firefox]","tests.web","2026-08-13","passed","2026-08-13","","test_accessibility_and_visual","",""
"","14","test_checkout_creates_order_and_empties_cart","tests.services","2026-08-13","passed","2026-08-13","","test_cart_flow","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","220","test_login_errors_are_shown_to_the_user[chromium--wonderland-Username and password are required]","tests.web","2026-08-13","passed","2026-08-13","","test_login","",""
"Fault injection via route interception.

    Playwright can intercept network traffic, which lets a UI test cover the
    error paths QA normally can't reach: 500s, timeouts, empty responses.
    These branches are almost never manually tested and almost always broken.
    ","690","test_api_failure_is_surfaced_to_the_user[firefox]","tests.web","2026-08-13","passed","2026-08-13","","test_shopping_flow","",""
"","239","test_category_filter[chromium]","tests.web","2026-08-13","passed","2026-08-13","","test_shopping_flow","",""
"Boundary-value analysis, done properly: min, min-1, max, max+1, and the
    type boundary. Three of these five rows have caught real defects in the
    author's experience; the middle-of-range value has caught none.","6","test_quantity_boundaries[-1-422-negative]","tests.services","2026-08-13","passed","2026-08-13","","test_cart_flow","",""
"Tab order and Enter-to-submit. A surprising number of production forms
    fail this, and it costs one test to know.","1155","test_login_form_is_keyboard_operable[firefox]","tests.web","2026-08-13","passed","2026-08-13","","test_login","",""
