"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","1130","test_can_complete_a_purchase_on_a_phone[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","3","test_protected_endpoint_requires_valid_bearer_token[Bearer]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"","5","test_login_with_valid_credentials_returns_token","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"Fault injection via route interception.

    Playwright can intercept network traffic, which lets a UI test cover the
    error paths QA normally can't reach: 500s, timeouts, empty responses.
    These branches are almost never manually tested and almost always broken.
    ","405","test_api_failure_is_surfaced_to_the_user[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","365","test_layout_collapses_to_a_mobile_nav[Galaxy S9+-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","3","test_unknown_product_returns_404[0]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","215","test_touch_targets_meet_the_minimum_size[iPhone 15-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Dark mode is a whole second theme that usually gets zero test coverage.
    Running the same axe audit under `color_scheme=""dark""` is nearly free.","1385","test_dark_mode_renders_with_readable_contrast[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","269","test_layout_collapses_to_a_mobile_nav[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","562","test_search_filters_the_grid[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Font size below 12px on a phone is a real usability defect and a common
    consequence of reusing desktop CSS.","543","test_content_is_readable_without_zooming[iPhone 15-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","573","test_can_complete_a_purchase_on_a_phone[iPad (gen 7)-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","8","test_search_is_case_insensitive_substring_match[aurora-Aurora]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","314","test_no_horizontal_scrolling[iPhone 15-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"A retried POST can create two orders. This test is the guardrail that
    stops a well-meaning future change from making POST retryable.","35","test_api_client_does_not_retry_post","tests.services","2026-08-14","passed","2026-08-14","","test_contract_and_properties","",""
"","401","test_device_reports_a_mobile_user_agent[Galaxy S9+-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","837","test_anonymous_user_is_sent_to_login_when_adding_to_cart[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","157","test_layout_collapses_to_a_mobile_nav[Galaxy S9+-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","5","test_non_numeric_product_id_returns_422_not_500","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","728","test_mobile_nav_opens_and_is_announced[iPhone 15-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","6","test_search_is_case_insensitive_substring_match[  -None]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","202","test_product_grid_renders_the_catalogue[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","374","test_no_horizontal_scrolling[Galaxy S9+-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Cross-layer consistency — my favourite kind of test.

    The UI must render exactly what the API serves. This catches client-side
    filtering, pagination and caching bugs that neither layer finds alone.
    ","138","test_ui_and_api_agree_on_the_catalogue[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Relational assertion — stronger than hardcoding counts, and it survives
    the catalogue growing. Prefer invariants over magic numbers.","10","test_filter_by_category_is_a_subset_of_the_full_catalogue","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"Latency injection. Catches missing loading states and premature asserts
    in the app's own code.","2109","test_slow_api_does_not_break_the_page[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"The single most valuable mobile-web assertion: does the responsive
    breakpoint actually fire on real device widths?","88","test_layout_collapses_to_a_mobile_nav[Pixel 7-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Font size below 12px on a phone is a real usability defect and a common
    consequence of reusing desktop CSS.","350","test_content_is_readable_without_zooming[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
