"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Latency injection. Catches missing loading states and premature asserts
    in the app's own code.","1916","test_slow_api_does_not_break_the_page[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Relational assertion — stronger than hardcoding counts, and it survives
    the catalogue growing. Prefer invariants over magic numbers.","7","test_filter_by_category_is_a_subset_of_the_full_catalogue","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","1187","test_can_complete_a_purchase_on_a_phone[Galaxy S9+-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","585","test_out_of_stock_products_cannot_be_added[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","554","test_search_with_no_results_shows_zero_and_no_error[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","13","test_login_with_valid_credentials_returns_token","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","118","test_no_horizontal_scrolling[Galaxy S9+-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Assert on the message the user reads, not on an internal state flag.
    A test that passes while the user sees a blank box is worse than no test.","191","test_login_errors_are_shown_to_the_user[chromium---Username and password are required]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"WCAG 2.2 (2.5.8) asks for 24x24 CSS px; iOS HIG and Material both say 44-48.
    This asserts the stricter, humane 44px on interactive controls.","320","test_touch_targets_meet_the_minimum_size[Pixel 7-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Rotation is a state change most suites never exercise — and a reliable
    source of clipped headers and stuck modals.","308","test_layout_survives_rotation[chromium-portrait]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","396","test_page_has_exactly_one_h1_and_a_language[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
"","186","test_out_of_stock_products_cannot_be_added[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","10","test_checkout_creates_order_and_empties_cart","tests.services","2026-08-14","passed","2026-08-14","","test_cart_flow","",""
"","3","test_limit_parameter_boundaries[100-200]","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"","936","test_logout_clears_the_session[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_login","",""
"Precondition via API, verification via UI — the pattern to default to.","253","test_removing_an_item_updates_the_total[chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"","699","test_mobile_nav_opens_and_is_announced[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"The mobile journey, tap by tap. Same Page Objects as the desktop test —
    the only mobile-specific step is opening the nav.","990","test_can_complete_a_purchase_on_a_phone[Pixel 7-webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","123","test_device_reports_a_mobile_user_agent[Galaxy S9+-chromium]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"","4","test_limit_caps_the_result_size","tests.services","2026-08-14","passed","2026-08-14","","test_products","",""
"One table, five behaviours. Note the ids: a failing run says
    `test_login_rejects_bad_credentials[username case mismatch]`, so triage
    starts before you open the log.","5","test_login_rejects_bad_credentials[alice-wonderland -trailing whitespace in password]","tests.services","2026-08-14","passed","2026-08-14","","test_auth","",""
"The one true end-to-end test: browse -> add -> cart -> checkout.

    A suite needs a handful of these and no more. They are the most expensive
    tests you own and the first to go flaky; every additional one buys less
    coverage than an API test costing 1% as much.
    ","1481","test_complete_purchase_journey[firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_shopping_flow","",""
"Horizontal overflow is *the* mobile bug: an element wider than the
    viewport, usually a table or an unbroken string. Cheap to detect, and
    nobody notices it in a desktop browser.","308","test_no_horizontal_scrolling[Pixel 7-firefox]","tests.web","2026-08-14","passed","2026-08-14","","test_mobile_web","",""
"Removing focus outlines without a replacement locks out keyboard users.
    Checks that *something* changes visually when a control is focused.","317","test_keyboard_focus_is_visible[webkit]","tests.web","2026-08-14","passed","2026-08-14","","test_accessibility_and_visual","",""
